word1,word2
pen,cap
celebration,beer
winter,ice
furniture,table
piercing,tattoo
theory,practice
massage,knot
uprising,rebellion
string,cord
sports,baseball
boat,canoe
dance,waltz
infection,pain
dungeon,cave
television,commercial
wheel,tire
sign,marquee
travel,continent
train,track
cellar,wine
decency,courtesy
friend,loyalty
crisis,shortage
clasp,squeeze
mountain,peak
shade,curtain
mound,hill
blacksmith,horseshoe
tomato,ketchup
promise,pact
theatre,balcony
hair,comb
monkey,gorilla
fire,stove
road,tar
car,headlights
avenue,boulevard
ruler,command
power,knowledge
fleet,deck
song,harmony
jail,offense
feline,tiger
instrument,oboe
painting,gallery
shore,bank
time,second
outcome,solution
spell,curse
bed,pillow
