word1,word2
celebration,beer
jail,offense
furniture,table
car,headlights
uprising,rebellion
sign,marquee
shore,bank
theatre,balcony
song,harmony
infection,pain
instrument,oboe
train,track
decency,courtesy
hair,comb
sports,baseball
tomato,ketchup
clasp,squeeze
painting,gallery
bed,pillow
winter,ice
dungeon,cave
cellar,wine
friend,loyalty
string,cord
fleet,deck
ruler,command
mountain,peak
television,commercial
spell,curse
time,second
massage,knot
boat,canoe
dance,waltz
fire,stove
shade,curtain
theory,practice
travel,continent
power,knowledge
wheel,tire
pen,cap
piercing,tattoo
outcome,solution
avenue,boulevard
crisis,shortage
mound,hill
road,tar
blacksmith,horseshoe
monkey,gorilla
feline,tiger
promise,pact
